,compound,neg,neu,pos,text,date,User,tweets ago
427,-0.4019,0.191,0.651,0.158,"A relentless tide of people are fleeing the deepening economic crisis in Venezuela, testing Brazil's tolerance for… https://t.co/ZiQzFqwUmu",Sat Apr 28 14:17:03 +0000 2018,@nytimes,28
428,0.6249,0.0,0.661,0.339,"11 great titles expiring from Netflix in May
https://t.co/f7Bn552i3J",Sat Apr 28 14:02:05 +0000 2018,@nytimes,29
429,-0.8074,0.43,0.57,0.0,Trump Calls on Montana Democrat to Resign in Fight Over Failed V.A. Nomination https://t.co/5N3UGByvxn,Sat Apr 28 13:56:45 +0000 2018,@nytimes,30
430,-0.7184,0.25,0.75,0.0,"In the Hart household, any act of insubordination could be severely punished. The children knew this all too well,… https://t.co/JLnQ5pGQum",Sat Apr 28 13:41:04 +0000 2018,@nytimes,31
431,-0.5423,0.178,0.747,0.075,Should genealogy databases be used to solve crimes? The Golden State Killer case has set off a debate over privacy… https://t.co/5Yw2PfGAGQ,Sat Apr 28 13:21:06 +0000 2018,@nytimes,32
432,0.5574,0.0,0.714,0.286,"Korean Accord Draws Praise, and Caution, From North’s Neighbors https://t.co/TajSG38uGN",Sat Apr 28 13:20:08 +0000 2018,@nytimes,33
433,0.0,0.0,1.0,0.0,Why One Woman Testified Against Bill Cosby: ‘I Had the Strength’ https://t.co/xCzWD9aI4P,Sat Apr 28 13:14:51 +0000 2018,@nytimes,34
434,0.0,0.0,1.0,0.0,"Six months ago, a parks official came across 2 boxes that had been sitting around for decades. Inside were 2,924 sl… https://t.co/9R2JZ4Mt1U",Sat Apr 28 13:02:02 +0000 2018,@nytimes,35
435,0.1027,0.208,0.519,0.274,The Ethicist: I'm a 73-year-old cancer survivor. Is it ethical to get a kidney transplant? https://t.co/cBGck0mmFs,Sat Apr 28 12:41:03 +0000 2018,@nytimes,36
436,0.7579,0.0,0.649,0.351,"The Week in Good News: The Waffle House Hero, a Dachshund Museum, a Royal Baby https://t.co/Zlqb4Pp0sO",Sat Apr 28 12:35:36 +0000 2018,@nytimes,37
437,0.8271,0.0,0.722,0.278,"The math of frequent-flier miles may not always add up, but perks like free checked bags have people flocking to tr… https://t.co/LnEc2DZjHw",Sat Apr 28 12:21:05 +0000 2018,@nytimes,38
438,0.0,0.0,1.0,0.0,This simple side dish takes only 15 minutes to make https://t.co/4vNZl5jz67,Sat Apr 28 12:02:05 +0000 2018,@nytimes,39
439,0.0,0.0,1.0,0.0,"Mark your calendars, New Jersey: November 17 will be Danny DeVito Day. https://t.co/m5aWcxfdl8",Sat Apr 28 11:41:02 +0000 2018,@nytimes,40
440,0.4939,0.0,0.868,0.132,"RT @NYTStyles: Ludwig Bemelmans said that Madeline was inspired by his mother, wife and daughter. “But,” his grandson wrote after his death…",Sat Apr 28 11:21:03 +0000 2018,@nytimes,41
441,-0.3818,0.12,0.88,0.0,"She desperately wanted to move in to a retirement community.
He told her he'd ""sit in the burned-out, firebombed ru… https://t.co/BEyKYYzdq1",Sat Apr 28 11:02:02 +0000 2018,@nytimes,42
442,0.4939,0.0,0.856,0.144,"RT @nytopinion: Job title: Mother. You will enjoy a bunch of superficial attention and lip service from culture, advertisers and politician…",Sat Apr 28 10:32:05 +0000 2018,@nytimes,43
443,0.0,0.0,1.0,0.0,The Landmarks That Made New York a Cultural Capital https://t.co/8mehOC3uiy,Sat Apr 28 10:20:34 +0000 2018,@nytimes,44
444,-0.3612,0.217,0.783,0.0,"A Word With: For Charlize Theron, Motherhood Is Messy Business https://t.co/jwqiU4F99f",Sat Apr 28 10:17:37 +0000 2018,@nytimes,45
445,-0.8126,0.425,0.575,0.0,"To catch a killer: a fake profile on a DNA site and a pristine sample
https://t.co/xHTGc0znUq",Sat Apr 28 10:02:06 +0000 2018,@nytimes,46
446,0.0772,0.0,0.86,0.14,Irish Voters Speak Out on Landmark Abortion Referendum https://t.co/ABK4sJpEqe,Sat Apr 28 09:52:54 +0000 2018,@nytimes,47
447,0.6369,0.0,0.724,0.276,Kenya Bans Film About 2 Girls in Love Because It’s ‘Too Hopeful’ https://t.co/V4AVLDpZH1,Sat Apr 28 09:50:25 +0000 2018,@nytimes,48
448,0.4215,0.0,0.872,0.128,"RT @nytimesworld: The anti-vaccine movement in the United States has spread to pets, prompting the British Veterinary Association to issue…",Sat Apr 28 09:38:05 +0000 2018,@nytimes,49
449,0.0,0.0,1.0,0.0,"RT @alanfeuer: You may have read bits &amp; pieces about the corruption probe that ensnared two Hasidic businessmen, the police, a hedge fund m…",Sat Apr 28 09:21:06 +0000 2018,@nytimes,50
450,0.0,0.0,1.0,0.0,What President Trump can expect from his trip to Britain https://t.co/VQEsabjcfg,Sat Apr 28 09:03:01 +0000 2018,@nytimes,51
451,0.0,0.0,1.0,0.0,The Year I Learned to Quit https://t.co/Ba8msQMkCM,Sat Apr 28 08:55:22 +0000 2018,@nytimes,52
452,-0.6597,0.329,0.671,0.0,"Alfie Evans, Terminally Ill British Toddler at Center of Court Fight, Dies https://t.co/OptTwlvsLs",Sat Apr 28 08:52:35 +0000 2018,@nytimes,53
453,0.0516,0.0,0.952,0.048,"RT @nytimesworld: Russia's ice roads are made in the fall by plowing insulating snow off the soil, allowing the cold air to freeze the bogg…",Sat Apr 28 08:34:04 +0000 2018,@nytimes,54
454,-0.3182,0.187,0.707,0.106,"RT @nytopinion: It’s possible now to envision a path away from war, and for that even us skeptics should be grateful, says @NickKristof htt…",Sat Apr 28 08:10:54 +0000 2018,@nytimes,55
455,0.7003,0.0,0.766,0.234,"RT @nytopinion: Inspired by a stunning look at polar bears, we are highlighting some of the wonders of nature this weekend https://t.co/gYN…",Sat Apr 28 07:54:02 +0000 2018,@nytimes,56
456,0.0,0.0,1.0,0.0,"RT @nytopinion: Watching Macron, @NYTimesCohen thinks: The world owes one to France, big time https://t.co/71TLbPnV73",Sat Apr 28 07:37:04 +0000 2018,@nytimes,57
457,-0.5106,0.155,0.845,0.0,This might explain why you think people are angry with you all the time – even when they're not https://t.co/I6ocQN8Nm3,Sat Apr 28 07:21:44 +0000 2018,@nytimes,58
458,0.7783,0.0,0.595,0.405,"There's a great way to get to know Paris: Walking, yes indeed https://t.co/J7rBe4NnHI",Sat Apr 28 07:05:35 +0000 2018,@nytimes,59
459,0.0,0.0,1.0,0.0,President Trump Is Coming to Britain. Here’s What He Can Expect. https://t.co/xjz06RXgeF,Sat Apr 28 06:47:13 +0000 2018,@nytimes,60
460,0.0,0.0,1.0,0.0,"RT @nytimesarts: ""Every time I encounter lovers,"" the French photographer Willy Ronis said, ""my camera smiles."" https://t.co/eNQrDL0yle",Sat Apr 28 06:33:02 +0000 2018,@nytimes,61
461,0.6705,0.0,0.8,0.2,"Abba: “We all felt that, after some 35 years, it could be fun to join forces again and go into the recording studio"" https://t.co/OCUmb9DQuf",Sat Apr 28 06:06:01 +0000 2018,@nytimes,62
462,0.5574,0.0,0.82,0.18,"""The 'Mona Lisa' has, to all meaningful intents and purposes, ceased to exist as an original work of art. It has be… https://t.co/wf72DEdIVh",Sat Apr 28 05:49:14 +0000 2018,@nytimes,63
463,0.0,0.0,1.0,0.0,"RT @DanBilefsky: During an 8-hour interview with all the drama of one of his films, the prolific Canadian film director @XDolan told me abo…",Sat Apr 28 05:32:02 +0000 2018,@nytimes,64
464,-0.7184,0.273,0.727,0.0,"Archaeologists in Sweden found victims of a 5th-century massacre where attackers used swords, axes and clubs to but… https://t.co/nII6B4wgTp",Sat Apr 28 05:15:51 +0000 2018,@nytimes,65
465,0.1779,0.0,0.909,0.091,"Amazon said it was raising the price of its Prime membership service 20%, to $119 from $99 https://t.co/yYcCvLOoA0",Sat Apr 28 04:58:56 +0000 2018,@nytimes,66
466,-0.8402,0.296,0.704,0.0,"RT @nytpolitics: The parents of Otto Warmbier have sued North Korea, alleging that it kidnapped, tortured and murdered their son https://t.…",Sat Apr 28 04:42:03 +0000 2018,@nytimes,67
